obs_p,obs_q,obs_teta,obs_DateTime
0.0,0.892,,
0.0,0.923,,
0.0,1.0,,
0.0,1.0,,
0.0,0.969,,
0.0,0.969,,
0.0,1.031,,
0.0,1.32,,
0.0,1.304,,
0.0,1.223,,
0.0,1.158,,
0.0,1.11,,
0.0,0.938,,
0.0,0.846,,
0.0001,0.938,,
0.0,0.985,,
0.0,1.016,,
0.0,1.016,,
0.0,1.047,,
0.0,1.016,,
0.0,0.923,,
0.0,0.907,,
0.0,0.969,,
0.0,0.985,,
0.0,0.938,,
0.0,0.938,,
0.0,0.969,,
0.0,0.985,,
0.0001,0.938,,
0.0001,0.938,,
0.00030000000000000003,1.0,,
0.0001,1.0,,
0.0,0.954,,
0.0,0.938,,
0.0,0.985,,
0.0,0.985,,
0.0,0.923,,
0.0,0.938,,
0.0,1.047,,
0.0,1.063,,
0.0,1.0,,
0.0,0.938,,
0.0,0.938,,
0.0,0.938,,
0.0,0.907,,
0.0,0.923,,
0.0,1.0,,
0.0,1.031,,
0.0,0.985,,
0.0,0.985,,
0.0,1.016,,
0.0,1.016,,
0.0,0.969,,
0.0,0.969,,
0.0,1.016,,
0.0,1.016,,
0.0,1.016,,
0.0,1.016,,
0.0,0.985,,
0.0002,0.969,,
0.0002,1.0,,
0.0006,1.016,,
0.0002,0.969,,
0.0004,0.969,,
0.0001,1.016,,
0.0002,1.095,,
0.0001,1.031,,
0.0,0.969,,
0.0,0.985,,
0.0,1.031,,
0.0,1.0,,
0.0006,0.985,,
0.001,1.031,,
0.0002,0.985,,
0.0008,1.031,,
0.0005,1.063,,
0.0,1.095,,
0.0001,1.095,,
0.0001,1.158,,
0.0001,1.19,,
0.0001,1.223,,
0.0,1.207,,
0.0,1.174,,
0.0,1.142,,
0.0,1.174,,
0.0,1.19,,
0.0,1.207,,
0.0,1.271,,
0.0001,1.288,,
0.0001,1.337,,
0.0002,1.255,,
0.0002,1.174,,
0.0,1.174,,
0.0,1.158,,
0.0001,1.126,,
0.0002,1.095,,
0.0,1.142,,
0.0,1.174,,
0.0001,1.142,,
0.0,1.142,,
0.0,1.174,,
0.0,1.174,,
0.0,1.158,,
0.0,1.142,,
0.0,1.158,,
0.0,1.142,,
0.0002,1.095,,
0.0,1.079,,
0.0,1.11,,
0.0,1.126,,
0.0,1.079,,
0.0,1.079,,
0.0,1.11,,
0.0,1.126,,
0.0,1.079,,
0.0,1.063,,
0.0,1.095,,
0.0,1.095,,
0.0,1.031,,
0.0,0.969,,
0.0,0.985,,
0.0,1.031,,
0.0,1.031,,
0.0,1.047,,
0.0,1.126,,
0.0,1.158,,
0.0,1.126,,
0.0,1.095,,
0.0,1.126,,
0.0,1.126,,
0.0,1.079,,
0.0,1.047,,
0.0,1.063,,
0.0,1.0,,
0.0,1.016,,
0.0,1.095,,
0.0,1.174,,
0.0,1.158,,
0.0,1.063,,
0.0,1.047,,
0.0,1.079,,
0.0,1.095,,
0.0,1.047,,
0.0,1.031,,
0.0,1.063,,
0.0,1.063,,
0.0,1.031,,
0.0,1.016,,
0.0,1.047,,
0.0,1.063,,
0.0,1.031,,
0.0,1.031,,
0.0,1.031,,
0.0,1.016,,
0.0,1.016,,
0.0,1.031,,
0.0,1.016,,
0.0,1.016,,
0.0,1.016,,
0.0,1.016,,
0.0,1.016,,
0.0,1.031,,
0.0,1.047,,
0.0,1.031,,
0.0,1.016,,
0.0,1.0,,
0.0,1.016,,
0.0,1.047,,
0.0,1.031,,
0.0,1.016,,
0.0,1.031,,
0.0,1.031,,
0.0,1.031,,
0.0,1.047,,
0.0,1.047,,
0.0,1.047,,
0.0,1.031,,
0.0,1.031,,
0.0,1.0,,
0.0,1.0,,
0.0,1.0,,
0.0,0.985,,
0.0,0.985,,
0.0001,1.0,,
0.0,1.0,,
0.0,1.0,,
0.0002,1.0,,
0.0001,0.985,,
0.0,0.938,,
0.0,0.923,,
0.0,0.923,,
0.0,0.938,,
0.0,0.969,,
0.0,0.892,,
0.0,0.969,,
0.0,0.985,,
0.0,0.985,,
0.0,0.985,,
0.0,0.985,,
0.0,0.985,,
0.0,0.985,,
0.0,0.985,,
0.0,0.985,,
0.0,0.985,,
0.0,0.985,,
0.0,0.985,,
0.0,0.985,,
0.0,0.985,,
0.0,0.985,,
0.0,1.047,,
0.0,1.063,,
0.0,1.016,,
0.0,0.969,,
0.0,0.954,,
0.0,0.954,,
0.0,0.954,,
0.0,0.969,,
0.0,0.969,,
0.0,0.969,,
0.0001,0.985,,
0.0,0.985,,
0.0,0.985,,
0.0,0.985,,
0.0,0.985,,
0.0,0.985,,
0.0,0.985,,
0.0,0.985,,
0.0,0.969,,
0.0,0.985,,
0.0,0.985,,
0.0,1.016,,
0.0,1.047,,
0.0,1.0,,
0.0,0.954,,
0.0,0.938,,
0.0,0.969,,
0.0,0.985,,
0.0,0.985,,
0.0,1.0,,
0.0,1.0,,
0.0,1.0,,
0.0,1.0,,
0.0,1.0,,
0.0,1.0,,
0.0,1.0,,
0.0,1.0,,
0.0,1.0,,
0.0,1.016,,
0.0,1.016,,
0.0,1.016,,
0.0,1.016,,
0.0,1.0,,
0.0,1.016,,
0.0,0.892,,
0.0,0.954,,
0.0,0.969,,
0.0,0.954,,
0.0,0.954,,
0.0,0.954,,
0.0,0.954,,
0.0,1.158,,
0.0,1.239,,
0.0,1.255,,
0.0,1.271,,
0.0,1.271,,
0.0,1.271,,
0.0,1.271,,
0.0,1.271,,
0.0,1.271,,
0.0,1.239,,
0.0,1.207,,
0.0,1.207,,
0.0,1.207,,
0.0001,1.19,,
0.0,1.239,,
0.0,1.223,,
0.0,1.223,,
0.0,1.223,,
0.0,1.239,,
0.0,1.271,,
0.0,1.271,,
0.0001,1.255,,
